term	idf	df	example
گرفتار	8.6835	4	باری باین گونه گفتار آن بیچاره گرفتار رفتار خویش شد و ترّهاتی بر زبان راند که سبب تشویش افکار گشت.
بقدومک	8.9066	3	ای ربّ من عرف قمیصک ایقنت بانّ العالم تشرّف بقدومک و فاز بنفحات وصلک.
ذبح	8.9066	3	و مقصود از ذبح او هم فدائی بود از برای عصیان و خطاهای من علی الأرض.
رکعات	8.9066	3	قد کتب علیکم الصلوة تسع رکعات لله منزل الآیات حین الزّوال وفی البکور والآصال.
مشروط	8.9066	3	و این بسی واضح و معلوم بوده که اثر جمیع این اسباب مذکوره منوط و مشروط بوجود نفس ناطقه که آیهٴ تجلّی سلطان احدیّه است بوده و خواهد بود.
استعلآء	9.1943	2	فأرسل یا الهی علی احبّتی ما تفرح به قلوبهم و تستنیر به وجوههم و تسترّ به ذواتهم و انت تعلم یا الهی انّ فرحهم فی استعلآء امرک و اعلآء کلمتک.
الآمال	9.1943	2	ایّدهم علی کشف سبحات الجلال و خرق حجبات الأوهام و الآمال.
الأبنآء	9.1943	2	و از جمله انّ الّذی ربّی ابنه او ابناً من الأبنآء کأنّه ربّی احد ابنائی.
الادراک	9.1943	2	ما لاحد و ذکر هذا المقام الاعلی و المقرّ الاسنی المقام الّذی جعلته فوق عرفان خلقک و شهادات عبادک لم یزل کان مستوراً عن الادراک و العلوم و مختوماً بختام اسمک القیّوم.
السکر	9.1943	2	یا الهی تری بأنّ السّکر اخذ عبادک الّذین اعرضوا عن جمالک و اعترضوا علی ما نزّل عن یمین عرش عظمتک.
الهک	9.1943	2	ارفعی لا تخافی قولی لمدن یهوذا هو ذا الهک!
الوادی	9.1943	2	فلمّا اتاها نودی من شاطئ الوادی الأیمن فی البقعة المبارکة من الشّجرة ان یا موسی انّی انا الله ربّ العالمین انتهی!
امنه	9.1943	2	من شرب منها شربةً ملأ الله قلبه نوراً و امّنه من العذاب الأکبر یوم القیامة.
تصوراتشان	9.1943	2	و عجب در اینست بجای آنکه کل بشکرانهٔ این نعمت که فی‌الحقیقه توفیقات ربّ ‌العزّة است قیام نمایند و بجناح ممنونیّت و مسرّت در هوای خوش شادمانی پرواز کنند و بدرگاه احدیّت دعا و نیاز آرند که یوماً فیوماً این مقاصد خیریّهٴ شهریاری مزداد گردد بالعکس بعضی نفوس که عقول و افکارشان بعلل اغراض ذاتیّه مختل و روشنائی رأی و تصوّراتشان بغبار خودپرستی و ظلمات منفعت شخصیّه محجوب و مکدّر.
تک	9.1943	2	انّک ان تک من اهل هذا المقام الأعلی فأت بآیة من لدی الله فاطر السّمآء.
حفظتهم	9.1943	2	اذاً فزع کلّ من فی السّموات و الأرض الّا الّذین عصمتهم بعصمتک و حفظتهم فی کنف قدرتک و عنایتک.
دعها	9.1943	2	هل تفرح بما عندک من الزّخارف بعد اذ تعلم انّها ستفنی؟ او تسترّ بما تحکم علی شبر من الأرض بعد اذ کلّها لم تکن عند اهل البهآء الّا کسواد عین نملة میّتة؟ دعها لأهلها ثمّ اقبل الى مقصود العالمین.
ربع	9.1943	2	ویقلّ هذا المقدار قلیلاً عن ربع التّرکة،.
سبطی	9.1943	2	در زمانی که بنی‌اسرائیل در مملکت مصر از توالد و تناسل تکثّر نموده در جمیع ممالک مصر منتشر گشتند پادشاهان قبطیان فراعنهٴ مصر بر اعزاز و قوّت قوم خود قبطی و اذلال و حقارت سبطی که غریب میشمردند برخاستند.
فراید	9.1943	2	بلکه از فضل پروردگار و عنایات مقرّبین درگاه آفرید‌گار و همّت بیهمتای نفوس کاملهٴ ماهره و افکار و آراء فراید زمانه هیچ امری در وجود ممتنع و محال نبوده و نیست.
قصدنا	9.1943	2	انّا نذکر لک الأمانة و مقامها عند الله ربّک ربّ العرش العظیم. انّا قصدنا یوماً من الأیّام جزیرتنا الخضرآء. و لمّا وردنا رأینا انهارها جاریة و اشجارها ملتفّة و کانت الشّمس تلعب فی خلال الأشجار.
لدغت	9.1943	2	بأیّ جرم لدغت ابنآء الرّسول و نهبت اموالهم؟.
معلول	9.1943	2	طبیب حاذقند جسم معلول عالم را و تریاق فاروق اعظمند هیئت مسمومهٔ بنی‌آدم را.
ملکها	9.1943	2	ثمّ احفظها عن التّصرّف فیما لم یدخل فی ملکها.
نسف	9.1943	2	غفلت ناس بمقامی رسیده که از خسف مدینه و نسف جبل و شقّ ارض آگاه نشده و نمیشوند.
وحمل	9.1943	2	کم من عبد اعتزل فی جزائر الهند ومنع عن نفسه ما أحلّه الله له وحمل الریاضات والمشقّات ولم یُذکر عند الله منزل الآیات.
وفقتنا	9.1943	2	فلک الحمد یا الهی بما وفّقتنا علی الاقرار به و التّصدیق بما نزّل علیه و شرّفتنا بلقآء من وعدتنا به فی کتبک و الواحک.
یطیرن	9.1943	2	ای ربّ انا الّذی قبلت حبّک و ضرّ العالمین و فدیت نفسی حبّاً لأحبّائک لیصعدنّ الی سموات قربک و عرفانک و یطیرنّ فی هوآء حبّک و رضائک.
